id,direccion,tipo,uso,superficie,ano_construccion,categoria,potencialadquisicion,noticiastate,responsable,encargostate,coordinates,zona,date_time,inmuebleimages,location,habitaciones,garaje,descripcion,ascensor,banyos,trastero,jardin,terraza,aireacondicionado,tipoagrupacion,nestedinmuebles,nestedescaleras,localizado,localizado_phone
10151,CL PINTOR SOROLLA 19,Urbano,Residencial,90,1931,NULL,0,false,Jaime Alcon,false,"[""39.40049851970849"",""39.40319648029149"",""-0.4039510802915021"",""-0.401253119708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10152,CL MASSANASSA 12,Urbano,Residencial,91,1940,NULL,0,false,Jaime Alcon,false,"[""39.4007116197085"",""39.4034095802915"",""-0.4009801802915021"",""-0.398282219708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10153,CL NUMERO 44 27,Urbano,Industrial,421,2002,NULL,0,false,NULL,false,"[""39.3949343197085"",""39.3976322802915"",""-0.398780780291502"",""-0.396082819708498""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10154,AV RAMBLETA 63,Urbano,"Sanidad,Benefic",3789,1991,NULL,0,false,Jaime Alcon,false,"[""39.40633571970851"",""39.4090336802915"",""-0.4072871802915021"",""-0.404589219708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10155,CL SEQUIA MONCADA 21,Urbano,Residencial,275,1990,NULL,0,false,NULL,false,"[""39.4029878197085"",""39.4056857802915"",""-0.419009280291502"",""-0.4163113197084979""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10156,CL FRANCISCO LLORENS 21,Urbano,Industrial,233,1940,NULL,0,false,Jaime Alcon,false,"[""39.4000650197085"",""39.4027629802915"",""-0.406071330291502"",""-0.4033733697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10157,CL MUSICO J MANUEL IZQUIERDO 37,Urbano,Industrial,151,1890,NULL,0,false,Jaime Alcon,false,"[""39.4020817697085"",""39.4047797302915"",""-0.4046366802915021"",""-0.401938719708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10158,CM BOÑ DEL 307,Urbano,Industrial,513,1998,NULL,0,false,NULL,false,"[""39.3954303"",""39.4099914"",""-0.4098771"",""-0.3976116""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10159,CL AIRE DEL 17,Urbano,Residencial,153,1965,NULL,0,false,Jaime Alcon,false,"[""39.3991567697085"",""39.4018547302915"",""-0.4036056802915021"",""-0.400907719708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10160,AV CAMI REIAL 51,Urbano,Residencial,183,1915,NULL,0,false,Jaime Alcon,false,"[""39.40084711970849"",""39.40354508029149"",""-0.404922080291502"",""-0.4022241197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10161,CL TRINQUET 16,Urbano,Residencial,89,1940,NULL,0,false,Jaime Alcon,false,"[""39.4023006697085"",""39.40499863029149"",""-0.406566680291502"",""-0.4038687197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10162,CL REINA 30,Urbano,Residencial,67,1990,NULL,0,false,Jaime Alcon,false,"[""39.3994851697085"",""39.4021831302915"",""-0.4022342302915021"",""-0.399536269708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10163,CL CASALET 11,Urbano,Residencial,119,1910,NULL,0,false,Jaime Alcon,false,"[""39.3980297197085"",""39.4007276802915"",""-0.403184430291502"",""-0.4004864697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10164,CL TORRENTE 12,Urbano,Residencial,112,1912,NULL,0,false,Jaime Alcon,false,"[""39.4009393197085"",""39.4036372802915"",""-0.4063065802915021"",""-0.403608619708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10165,CL NUMERO 32 313,Urbano,Industrial,513,2002,NULL,0,false,NULL,false,"[""39.39360121970849"",""39.39629918029149"",""-0.3948918802915021"",""-0.392193919708498""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10166,AV RAMBLETA 1,Urbano,Cultural,8183,2008,NULL,0,false,NULL,false,"[""39.4008169197085"",""39.4035148802915"",""-0.4087817802915021"",""-0.406083819708498""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10167,CL PEZ EL 1,Urbano,Residencial,76,1912,NULL,0,false,Jaime Alcon,false,"[""39.39892021970849"",""39.40161818029149"",""-0.401993030291502"",""-0.3992950697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10168,CL FONT DE LA 8,Urbano,Residencial,134,1995,NULL,0,false,NULL,false,"[""39.3977176697085"",""39.4004156302915"",""-0.404373980291502"",""-0.4016760197084979""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10169,CM ERAS DE LAS 315,Urbano,Industrial,347,2003,NULL,0,false,NULL,false,"[""39.3958217697085"",""39.3985197302915"",""-0.3997371802915021"",""-0.397039219708498""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10170,CL CRESCENCIO CHAPA 12,Urbano,Residencial,108,1992,NULL,0,false,NULL,false,"[""39.3954303"",""39.4099914"",""-0.4098771"",""-0.3976116""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10171,CL SABADELL 10,Urbano,Residencial,128,1980,NULL,0,false,Jaime Alcon,false,"[""39.39743026970849"",""39.40012823029149"",""-0.401743030291502"",""-0.399045069708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10172,CL SAN PEDRO 14,Urbano,Residencial,0,1900,NULL,0,false,Jaime Alcon,false,"[""39.3984682197085"",""39.4011661802915"",""-0.402923130291502"",""-0.4002251697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10173,CL JOANOT MARTORELL 13,Urbano,Comercial,316,1912,NULL,0,false,Jaime Alcon,false,"[""39.40216806970851"",""39.4048660302915"",""-0.402699430291502"",""-0.4000014697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10174,CL PERIS Y VALERO 44,Urbano,Residencial,138,1995,NULL,0,false,Jaime Alcon,false,"[""39.40030491970851"",""39.40300288029151"",""-0.401887930291502"",""-0.399189969708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10175,CL CERVANTES 9,Urbano,Residencial,123,1900,NULL,0,false,Jaime Alcon,false,"[""39.3991505197085"",""39.40184848029149"",""-0.404896480291502"",""-0.4021985197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
