id,direccion,tipo,uso,superficie,ano_construccion,categoria,potencialadquisicion,noticiastate,responsable,encargostate,coordinates,zona,date_time,inmuebleimages,location,habitaciones,garaje,descripcion,ascensor,banyos,trastero,jardin,terraza,aireacondicionado,tipoagrupacion,nestedinmuebles,nestedescaleras,localizado,localizado_phone
2,CL PELAYO 1 Es:1  Pl:01  Pt:01,Urbano,Residencial,115,1950,Propietario,0,false,NULL,false,"[""39.3976743697085"",""39.4003723302915"",""-0.4060899802915021"",""-0.403392019708498""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
3,AV CAMI REIAL 91 Es:1 Pl:01 Pt:01,Urbano,Almacén-Estacionamiento,45,2007,Inquilino,0,false,Jaime Alcon,false,"[""39.3995368697085"",""39.4022348302915"",""-0.405537180291502"",""-0.402839219708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
4,AV CAMI REIAL 91 Es:1 Pl:02 Pt:01,Urbano,Almacén-Estacionamiento,65,2007,NULL,0,true,Jaime Alcon,false,"[""39.3995368697085"",""39.4022348302915"",""-0.405537180291502"",""-0.402839219708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
5,AV CAMI REIAL 91 Es:1 Pl:03 Pt:01,Urbano,Almacén-Estacionamiento,65,2007,Inquilino,1,false,Jaime Alcon,false,"[""39.3995368697085"",""39.4022348302915"",""-0.405537180291502"",""-0.402839219708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
6,AV CAMI REIAL 91 Es:1 Pl:04 Pt:01,Urbano,Residencial,136,2007,Inquilino,1,true,Jaime Alcon,true,"[""39.3995368697085"",""39.4022348302915"",""-0.405537180291502"",""-0.402839219708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,3,true,"Fantástica vivienda muy amplia y luminosa en pleno corazón de Sedaví.  La casa es una auténtica pasada. Actualmente consta de 8 habitaciones, 3 salones, 3 cocinas, 4 cuartos de baño, un garaje muy amplio, varios recibidores y vestíbulos y 4 terrazas, de 75m2, 15m2, 10m2 y 7m2.  Da a dos fachadas de 15 y 8 metros más a 3 de las terrazas con lo que tiene mucha luz todo el día con orientación este y oeste. Se trata de dos viviendas unidas donde antes probablemente fueran 3 ya que hay hasta 4 accesos diferentes contando el garaje. La parte más grande y noble de la vivienda es una maravilla, todo reformado, con espacios muy amplios en todas las estancias, suelos de mármol, todo con madera de mobila, techos altos, molduras antiguas, una escalera que es espectacular, acceso a dos patios… El otro lado de la vivienda, el que da a la calle 25 de Abril está dividida en dos zonas, otra reformada que",false,0,false,false,false,true,1,,,false,
7,AV CAMI REIAL 91 Es:1 Pl:00 Pt:01,Urbano,Comercial,53,2007,Inquilino,0,true,Jaime Alcon,false,"[""39.3995368697085"",""39.4022348302915"",""-0.405537180291502"",""-0.402839219708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
8,PZ MAYOR 1 Pl:01  Pt:01,Urbano,Residencial,66,1992,Propietario,1,true,Jaime Alcon,false,"[""39.40170996970851"",""39.4044079302915"",""-0.4054165802915021"",""-0.402718619708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,"Hola esto es la descripción ",true,2,true,false,true,true,1,,,false,
9,PZ MAYOR 1 Pl:01  Pt:02,Urbano,Residencial,72,1992,Inquilino,1,true,Jaime Alcon,false,"[""39.40170996970851"",""39.4044079302915"",""-0.4054165802915021"",""-0.402718619708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10,PZ MAYOR 1 Pl:02  Pt:03,Urbano,Residencial,123,1992,Vacio,0,true,Jaime Alcon,true,"[""39.40170996970851"",""39.4044079302915"",""-0.4054165802915021"",""-0.402718619708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
11,PZ MAYOR 1 Pl:02  Pt:04,Urbano,Residencial,114,1992,Inquilino,0,false,Jaime Alcon,false,"[""39.40170996970851"",""39.4044079302915"",""-0.4054165802915021"",""-0.402718619708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
12,PZ MAYOR 2 Pl:01  Pt:01,Urbano,Residencial,95,1992,Inquilino,1,false,Jaime Alcon,false,"[""39.4017436197085"",""39.4044415802915"",""-0.405489930291502"",""-0.402791969708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
13,PZ MAYOR 2 Pl:01 Pt:02,Urbano,Residencial,91,1992,NULL,0,false,Jaime Alcon,false,"[""39.4017436197085"",""39.4044415802915"",""-0.405489930291502"",""-0.402791969708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
14,PZ MAYOR 2 Pl:02  Pt:03,Urbano,Residencial,169,1992,NULL,0,false,Jaime Alcon,false,"[""39.4017436197085"",""39.4044415802915"",""-0.405489930291502"",""-0.402791969708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
15,PZ MAYOR 2 Pl:02  Pt:04,Urbano,Residencial,161,1992,Propietario,1,true,Jaime Alcon,true,"[""39.4017436197085"",""39.4044415802915"",""-0.405489930291502"",""-0.402791969708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
16,PZ MAYOR 3 Pl:B0  Pt:01,Urbano,Almacén-Estacionamiento,102,1992,NULL,0,false,Jaime Alcon,false,"[""39.4023077197085"",""39.4050056802915"",""-0.405852730291502"",""-0.403154769708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
17,PZ MAYOR 3 Pl:B0  Pt:02,Urbano,Comercial,31,1992,Vacio,0,false,Jaime Alcon,false,"[""39.4023077197085"",""39.4050056802915"",""-0.405852730291502"",""-0.403154769708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
18,PZ MAYOR 3 Pl:01  Pt:01,Urbano,Residencial,77,1992,Propietario,0,false,Jaime Alcon,false,"[""39.4023077197085"",""39.4050056802915"",""-0.405852730291502"",""-0.403154769708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
19,PZ MAYOR 3 Pl:01  Pt:02,Urbano,Residencial,83,1992,Propietario,1,true,Jaime Alcon,false,"[""39.4023077197085"",""39.4050056802915"",""-0.405852730291502"",""-0.403154769708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
20,PZ MAYOR 3 Pl:02  Pt:03,Urbano,Residencial,128,1992,Inquilino,0,true,Jaime Alcon,false,"[""39.4023077197085"",""39.4050056802915"",""-0.405852730291502"",""-0.403154769708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
21,PZ MAYOR 3 Pl:02  Pt:04,Urbano,Residencial,147,1992,NULL,0,false,Jaime Alcon,false,"[""39.4023077197085"",""39.4050056802915"",""-0.405852730291502"",""-0.403154769708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
22,PZ MAYOR 5 Pl:B0  Pt:06,Urbano,Almacén-Estacionamiento,137,1992,NULL,0,false,Jaime Alcon,false,"[""39.40142811970851"",""39.4041260802915"",""-0.405811180291502"",""-0.4031132197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
23,PZ MAYOR 5 Pl:01  Pt:07,Urbano,Residencial,165,1992,NULL,0,false,Jaime Alcon,false,"[""39.40142811970851"",""39.4041260802915"",""-0.405811180291502"",""-0.4031132197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
24,PZ MAYOR 5 Pl:01  Pt:08,Urbano,Residencial,163,1992,NULL,0,false,Jaime Alcon,false,"[""39.40142811970851"",""39.4041260802915"",""-0.405811180291502"",""-0.4031132197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
25,PZ MAYOR 5 Pl:01  Pt:09,Urbano,Residencial,162,1992,NULL,0,false,Jaime Alcon,false,"[""39.40142811970851"",""39.4041260802915"",""-0.405811180291502"",""-0.4031132197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
26,PZ MAYOR 5 Pl:01  Pt:10,Urbano,Residencial,160,1992,NULL,0,false,Jaime Alcon,false,"[""39.40142811970851"",""39.4041260802915"",""-0.405811180291502"",""-0.4031132197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
27,PZ MAYOR 5 Pl:01  Pt:11,Urbano,Residencial,161,1992,NULL,0,false,Jaime Alcon,false,"[""39.40142811970851"",""39.4041260802915"",""-0.405811180291502"",""-0.4031132197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
28,PZ MAYOR 5 Pl:01  Pt:12,Urbano,Residencial,95,1992,NULL,0,false,Jaime Alcon,false,"[""39.40142811970851"",""39.4041260802915"",""-0.405811180291502"",""-0.4031132197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
29,PZ MAYOR 5 Pl:02  Pt:15,Urbano,Residencial,95,1992,NULL,0,false,Jaime Alcon,false,"[""39.40142811970851"",""39.4041260802915"",""-0.405811180291502"",""-0.4031132197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
30,PZ MAYOR 5 Pl:03  Pt:22,Urbano,Residencial,172,1992,NULL,0,false,Jaime Alcon,false,"[""39.40142811970851"",""39.4041260802915"",""-0.405811180291502"",""-0.4031132197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
31,PZ MAYOR 5 Pl:03  Pt:23,Urbano,Residencial,169,1992,NULL,0,false,Jaime Alcon,false,"[""39.40142811970851"",""39.4041260802915"",""-0.405811180291502"",""-0.4031132197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
32,PZ MAYOR 5 Pl:03  Pt:24,Urbano,Residencial,167,1992,NULL,0,false,Jaime Alcon,false,"[""39.40142811970851"",""39.4041260802915"",""-0.405811180291502"",""-0.4031132197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
33,PZ MAYOR 5 Pl:03  Pt:25,Urbano,Residencial,165,1992,NULL,0,false,Jaime Alcon,false,"[""39.40142811970851"",""39.4041260802915"",""-0.405811180291502"",""-0.4031132197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
34,PZ MAYOR 5 Pl:03  Pt:26,Urbano,Residencial,164,1992,NULL,0,false,Jaime Alcon,false,"[""39.40142811970851"",""39.4041260802915"",""-0.405811180291502"",""-0.4031132197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
35,PZ MAYOR 5 Pl:03  Pt:27,Urbano,Residencial,162,1992,Inquilino,0,false,Jaime Alcon,false,"[""39.40142811970851"",""39.4041260802915"",""-0.405811180291502"",""-0.4031132197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
36,PZ MAYOR 5 Pl:03  Pt:28,Urbano,Residencial,223,1992,NULL,0,false,Jaime Alcon,false,"[""39.40142811970851"",""39.4041260802915"",""-0.405811180291502"",""-0.4031132197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
37,PZ MAYOR 7 Pl:-2  Pt:01,Urbano,Almacén-Estacionamiento,33,1992,Inquilino,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
38,PZ MAYOR 7 Pl:-2  Pt:02,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
39,PZ MAYOR 7 Pl:-2  Pt:03,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
40,PZ MAYOR 7 Pl:-2  Pt:04,Urbano,Almacén-Estacionamiento,33,1992,Inquilino,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
41,PZ MAYOR 7 Pl:-2  Pt:05,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
42,PZ MAYOR 7 Pl:-2  Pt:06,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
43,PZ MAYOR 7 Pl:-2  Pt:07,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
44,PZ MAYOR 7 Pl:-2  Pt:08,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
45,PZ MAYOR 7 Es:1  Pl:-2  Pt:09,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
46,PZ MAYOR 7 Pl:-2  Pt:10,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
47,PZ MAYOR 7 Pl:-2  Pt:11,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
48,PZ MAYOR 7 Pl:-2  Pt:12,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
49,PZ MAYOR 7 Pl:-2  Pt:13,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
50,PZ MAYOR 7 Pl:-2  Pt:14,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
51,PZ MAYOR 7 Pl:-2  Pt:15,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
52,PZ MAYOR 7 Pl:-2  Pt:16,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
53,PZ MAYOR 7 Pl:-2  Pt:17,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
54,PZ MAYOR 7 Pl:-2  Pt:18,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
55,PZ MAYOR 7 Es:1  Pl:-2  Pt:19,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
56,PZ MAYOR 7 Pl:-2  Pt:20,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
57,PZ MAYOR 7 Pl:-2  Pt:21,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
58,PZ MAYOR 7 Pl:-2  Pt:22,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
59,PZ MAYOR 7 Pl:-2  Pt:23,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
60,PZ MAYOR 7 Pl:-2  Pt:24,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
61,PZ MAYOR 7 Pl:-2  Pt:25,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
62,PZ MAYOR 7 Pl:-2  Pt:26,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
63,PZ MAYOR 7 Pl:-2  Pt:27,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
64,PZ MAYOR 7 Pl:-2  Pt:28,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
65,PZ MAYOR 7 Pl:-2  Pt:29,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
66,PZ MAYOR 7 Pl:-2  Pt:30,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
67,PZ MAYOR 7 Pl:-2  Pt:31,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
68,PZ MAYOR 7 Pl:-2  Pt:32,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
69,PZ MAYOR 7 Pl:-2  Pt:33,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
70,PZ MAYOR 7 Pl:-2  Pt:34,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
71,PZ MAYOR 7 Pl:-2  Pt:35,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
72,PZ MAYOR 7 Pl:-2  Pt:36,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
73,PZ MAYOR 7 Pl:-2  Pt:37,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
74,PZ MAYOR 7 Pl:-2  Pt:38,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
75,PZ MAYOR 7 Pl:-2  Pt:39,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
76,PZ MAYOR 7 Pl:-2  Pt:40,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
77,PZ MAYOR 7 Pl:-2  Pt:41,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
78,PZ MAYOR 7 Pl:-2  Pt:42,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
79,PZ MAYOR 7 Pl:-2  Pt:43,Urbano,Almacén-Estacionamiento,33,1992,NULL,0,false,Jaime Alcon,false,"[""39.40183226970849"",""39.40453023029149"",""-0.406267830291502"",""-0.4035698697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
